step,ort_ref_loss,gvsoc_loss,abs_diff
0,0.172064,0.172064,0.0
1,2.329901,2.329901,0.0
2,0.011958,0.011958,0.0
3,1.447267,1.447268,1e-06
4,0.061431,0.061431,0.0
5,0.002344,0.002344,0.0
6,0.000324,0.000324,0.0
7,0.21911,0.21911,0.0
8,0.000488,0.000488,0.0
9,0.001583,0.001583,0.0
10,1.244738,1.244739,1e-06
11,0.013111,0.013111,0.0
12,0.963577,0.963577,0.0
13,0.025649,0.025649,0.0
14,0.020417,0.020417,0.0
15,0.001175,0.001175,0.0
16,0.000248,0.000248,0.0
17,0.011827,0.011827,0.0
18,0.028574,0.028574,0.0
19,0.003198,0.003198,0.0
20,0.010386,0.010386,0.0
21,2.313617,2.313618,1e-06
22,0.095232,0.095232,0.0
23,0.205213,0.205214,1e-06
24,0.68883,0.688829,1e-06
25,0.10316,0.10316,0.0
26,0.001335,0.001335,0.0
27,0.686502,0.686501,1e-06
28,0.626141,0.626141,0.0
29,0.063549,0.063549,0.0
30,0.364282,0.364283,1e-06
31,0.020557,0.020557,0.0
32,0.127383,0.127383,0.0
33,0.033461,0.033461,0.0
34,0.158949,0.158949,0.0
35,0.09587,0.09587,0.0
36,3.514432,3.514433,1e-06
37,0.012753,0.012753,0.0
38,0.798887,0.798887,0.0
39,0.013212,0.013213,1e-06
40,0.023275,0.023275,0.0
41,0.018668,0.018668,0.0
42,0.890013,0.890015,2e-06
43,0.011654,0.011654,0.0
44,0.237052,0.237051,1e-06
45,0.000231,0.000231,0.0
46,4.644213,4.644215,2e-06
47,0.002126,0.002126,0.0
48,0.001098,0.001098,0.0
49,1.836826,1.836825,1e-06
50,0.004077,0.004077,0.0
51,0.001584,0.001584,0.0
52,1.461626,1.461626,0.0
53,0.840012,0.840011,1e-06
54,0.16913,0.16913,0.0
55,1.959129,1.95913,1e-06
56,0.013116,0.013116,0.0
57,1.461009,1.461009,0.0
58,0.046894,0.046894,0.0
59,0.001452,0.001452,0.0
60,0.000464,0.000464,0.0
61,0.235881,0.235881,0.0
62,0.000558,0.000558,0.0
63,0.002709,0.002709,0.0
64,1.133234,1.133235,1e-06
65,0.010189,0.01019,1e-06
66,0.670763,0.670763,0.0
67,0.027614,0.027615,1e-06
68,0.020169,0.020169,0.0
69,0.002039,0.002039,0.0
70,0.000237,0.000237,0.0
71,0.012893,0.012893,0.0
72,0.025536,0.025537,1e-06
73,0.004847,0.004848,1e-06
74,0.010861,0.010861,0.0
75,1.686873,1.686873,0.0
76,0.03584,0.03584,0.0
77,0.128421,0.128421,0.0
78,0.5034,0.5034,0.0
79,0.088021,0.088021,0.0
80,0.001482,0.001482,0.0
81,0.473772,0.473772,0.0
82,0.539612,0.539612,0.0
83,0.051957,0.051957,0.0
84,0.229987,0.229988,1e-06
85,0.01989,0.01989,0.0
86,0.106313,0.106313,0.0
87,0.030207,0.030207,0.0
88,0.084854,0.084854,0.0
89,0.082393,0.082393,0.0
90,3.088312,3.088313,1e-06
91,0.013287,0.013287,0.0
92,0.697356,0.697355,1e-06
93,0.014211,0.014211,0.0
94,0.033494,0.033494,0.0
95,0.018853,0.018853,0.0
96,0.824051,0.824052,1e-06
97,0.012227,0.012227,0.0
98,0.193462,0.193462,0.0
99,0.000339,0.000339,0.0
100,4.227491,4.227493,2e-06
101,0.002388,0.002388,0.0
102,0.000493,0.000493,0.0
103,1.71372,1.713719,1e-06
104,0.004126,0.004126,0.0
105,0.001718,0.001718,0.0
106,1.184193,1.184193,0.0
107,0.760363,0.760362,1e-06
108,0.21425,0.21425,0.0
109,1.726388,1.726388,0.0
110,0.0133,0.0133,0.0
